businessID,category
A_fZL0ir_actclrL-ePTOw,chinese
NYdIAon4Wj5ZWVFpSNEKsA,chinese
Pj7vKy-QJBwUokCMji2MZQ,chinese
PXm4BNjTgWHYClemDAkDjw,chinese
j9LAlbSiqGlvfAOt8LRRzQ,chinese
ULZhPfCQuqqKN767gRQ6Zw,chinese
IBMaz2RZPkU1Ng9b8A6ywg,chinese
uP0zrPN8vCMxTe1jnsKsZQ,chinese
1fVp9c5Vw04ig171a_juRw,chinese
xi_QX5uArqDM4LeL4WIv1Q,chinese
6SjQmcrk-0iXltDGzZV0MA,chinese
WmaHnPhHFb3U1W9cPXi_ZQ,chinese
lh5sd985Q1bDxi-xRWBzjw,chinese
QpjfjEN2MT_78JlwFpe_TQ,chinese
Wu9AymEM_RM2cnRPslVlIw,chinese
NLHHXy87krCnRGXkeLhmsw,chinese
ZYWwYSXWyDlVYIjPgXmIQA,chinese
CTUqeP0Z7kgi5Tvsx-mU7A,chinese
rhEfNtVrckQj-Ns44OBHgA,chinese
UTazj0e6zXW4eLEERg405Q,chinese
8ceGPxcSMdwa8k7y-DLZxA,chinese
q9c0pPHQZL4tseJdjt1KUQ,chinese
X5HmML-G--nt4lc5VQC2uQ,chinese
QqSDuJKKmEHOEPpzCFTQFA,chinese
mLN0bQ_A8gpdf6r85vQLuw,chinese
5rX_7IkvFx5MKqS3ikQe3Q,chinese
G4K-mNlM0oLKo8N--Ne2AA,chinese
oVdiFY9zSvgW0u-J0DoKbw,chinese
2lxsbaVX8REi0sbFu4TzpQ,chinese
4ezI4FyBFEh5hu-MKPWncQ,chinese
U9bU_xY11bu88lYZwnMVfQ,chinese
V9Y5z0NHBDNStB-BX6GUuw,chinese
zkxEqO_vCVEdpnD6gJOMNg,chinese
gtbrE6JE6bXiaACC89ZsJw,chinese
pjbMNd88LRNxvrwaO8kEhQ,chinese
6oQKDCJrgDffPKXPTPBXlA,chinese
U2x299aFPwXRYXlMxyO4tw,chinese
59qchK6SWKq8qkqZxH1HYg,chinese
1GNH6ZldleY8rKtWNZX_yg,chinese
uEdP0FQPG_aIxooXKtTiRg,chinese
Y6RpeX_aAwY6aIWKaGs0OA,chinese
KIPrTLyJb0mHpsxuaCByZg,chinese
gABJfl51T0QXitBlXlVB4g,chinese
TxaxeiUqQqcFrWrerNqgXw,chinese
yUVcpgecpq1qncpa1x34Hg,chinese
AeLz0uoZH3hxmkcXlwUIGg,chinese
71_8yA0L_FCwfgC-8KQjXA,chinese
B-mq9Z3m4icTcBFjYh662A,chinese
PUwrkoUztUYs4VdHlK9qBg,chinese
BbzVXf9Kso5Lam2OzUeE6g,chinese
hDT_KAXQgHpchcwG5_gv0Q,chinese
6uZzxemDrMPFIaX7g011HA,chinese
RR2EAtBRVzoP8icHrHGDJg,chinese
fZEIROykRA2C-fuNJm0bTA,chinese
CsZfohiiHJomZa2g5YOf-w,chinese
EQ63QB4ONJ23e9YBPncAPg,chinese
wPL0epJzosoFRYox1a5lvA,chinese
bwRjpch1ssLw2czICXE2sQ,chinese
Fj5RosdsJV24ZT8S6X-nNQ,chinese
VGICUq76seDJ09c_sl9c3Q,chinese
owKe1hapqCCLnme2Xr3mrA,chinese
l4fdf4e_xFvNnKqfdm3SLg,chinese
B7dR05bIWJ6qgUYk5jvzYQ,chinese
98SsKXNs37ohAQERZbBPJg,chinese
F4lLNqPJULJbiIm5CeoE9g,chinese
a52GUjv7jYD3Baa0Ltbytw,chinese
VEjkxniAlG35cR3pjHvF-A,chinese
QFOYvQK9y2jM7ue-DXkw2g,chinese
dSZH0XgoZ-AT0qezA9Xx-g,chinese
VQRVAys948kxYAlAEddBsw,chinese
FnWeS2HRGvDimOHMHRHOsw,chinese
VAM-fJsNpEvA85OFUbWBKg,chinese
Sxpy4HvdiqTQt5BcplUAHg,chinese
BbODF2tZuw4xW_RFwMzwRg,chinese
bTYUKs5ChOafHL2fNYzG7g,chinese
